Date,Filing,Description
11/02/2000,10-Q,Quarterly Report
10/02/2000,SC 13G,Statement of Beneficial Ownership
10/02/2000,SC 13G/A,Amended Statement of Beneficial Ownership
10/02/2000,S-3/A,Registration Statement
21/01/2000,SC 13G,Statement of Beneficial Ownership
12/01/2000,S-3,Registration Statement
29/11/2001,SC 13D/A,Amended General Statement of Beneficial Ownership
26/10/2001,10-Q,Quarterly Report
12/10/2001,DEFR14A,Revised Proxy Statement
27/09/2001,DEF 14A,Definitive Proxy Statement
18/09/2001,10-K,Annual Report
03/08/2001,SC 13G,Statement of Beneficial Ownership
06/06/2001,S-3/A,Registration Statement
15/05/2001,10-Q,Quarterly Report
11/05/2001,S-3,Registration Statement
20/04/2001,SC 13G,Statement of Beneficial Ownership
30/03/2001,424B3,Prospectus Filed Pursuant to Rule 424
21/03/2001,SC 13G,Statement of Beneficial Ownership
21/03/2001,SC 13G,Statement of Beneficial Ownership
07/03/2001,SC 13D,General Statement of Beneficial Ownership
22/02/2001,S-4/A,Registration Statement
16/02/2001,SC 13G,Statement of Beneficial Ownership
14/02/2001,SC 13G,Statement of Beneficial Ownership
14/02/2001,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2001,10-Q,Quarterly Report
14/02/2001,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2001,SC 13G/A,Amended Statement of Beneficial Ownership
01/02/2001,S-4,Registration Statement
08/01/2001,S-3,Registration Statement
27/02/2002,S-8,Registration Statement
26/12/2002,4,Statement of Changes of Beneficial Ownership
05/12/2002,SC 13D/A,Amended General Statement of Beneficial Ownership
05/12/2002,4,Statement of Changes of Beneficial Ownership
05/12/2002,4,Statement of Changes of Beneficial Ownership
05/12/2002,4,Statement of Changes of Beneficial Ownership
04/12/2002,4,Statement of Changes of Beneficial Ownership
02/12/2002,4,Statement of Changes of Beneficial Ownership
29/11/2002,4,Statement of Changes of Beneficial Ownership
29/11/2002,4,Statement of Changes of Beneficial Ownership
26/11/2002,4,Statement of Changes of Beneficial Ownership
26/11/2002,4/A,Amended Statement of Changes of Beneficial Ownership
26/11/2002,4,Statement of Changes of Beneficial Ownership
