Date,Filing,Description
07/01/2003,4,Statement of Changes of Beneficial Ownership
07/01/2003,4,Statement of Changes of Beneficial Ownership
03/01/2003,4,Statement of Changes of Beneficial Ownership
03/01/2003,4/A,Amended Statement of Changes of Beneficial Ownership
28/12/2004,4,Statement of Changes of Beneficial Ownership
21/12/2004,4,Statement of Changes of Beneficial Ownership
17/12/2004,4,Statement of Changes of Beneficial Ownership
07/12/2004,4,Statement of Changes of Beneficial Ownership
03/12/2004,4,Statement of Changes of Beneficial Ownership
03/12/2004,4,Statement of Changes of Beneficial Ownership
03/12/2004,4,Statement of Changes of Beneficial Ownership
02/12/2004,4,Statement of Changes of Beneficial Ownership
02/12/2004,4,Statement of Changes of Beneficial Ownership
01/12/2004,4,Statement of Changes of Beneficial Ownership
01/12/2004,4,Statement of Changes of Beneficial Ownership
30/11/2004,4,Statement of Changes of Beneficial Ownership
29/11/2004,4,Statement of Changes of Beneficial Ownership
26/11/2004,4,Statement of Changes of Beneficial Ownership
24/11/2004,4/A,Amended Statement of Changes of Beneficial Ownership
24/11/2004,4/A,Amended Statement of Changes of Beneficial Ownership
24/11/2004,8-K/A,Amended Current Report
24/11/2004,4,Statement of Changes of Beneficial Ownership
23/11/2004,4,Statement of Changes of Beneficial Ownership
22/11/2004,4,Statement of Changes of Beneficial Ownership
19/11/2004,4,Statement of Changes of Beneficial Ownership
18/11/2004,4,Statement of Changes of Beneficial Ownership
17/11/2004,4,Statement of Changes of Beneficial Ownership
17/11/2004,4,Statement of Changes of Beneficial Ownership
16/11/2004,4,Statement of Changes of Beneficial Ownership
15/11/2004,8-K,Current Report
15/11/2004,S-8,Registration Statement
12/11/2004,4,Statement of Changes of Beneficial Ownership
12/11/2004,4,Statement of Changes of Beneficial Ownership
12/11/2004,8-K,Current Report
10/11/2004,4,Statement of Changes of Beneficial Ownership
10/11/2004,4,Statement of Changes of Beneficial Ownership
10/11/2004,4,Statement of Changes of Beneficial Ownership
10/11/2004,4,Statement of Changes of Beneficial Ownership
10/11/2004,4,Statement of Changes of Beneficial Ownership
10/11/2004,4,Statement of Changes of Beneficial Ownership
10/11/2004,4,Statement of Changes of Beneficial Ownership
10/11/2004,4,Statement of Changes of Beneficial Ownership
10/11/2004,4,Statement of Changes of Beneficial Ownership
10/11/2004,4,Statement of Changes of Beneficial Ownership
10/11/2004,4,Statement of Changes of Beneficial Ownership
10/11/2004,4,Statement of Changes of Beneficial Ownership
10/11/2004,4,Statement of Changes of Beneficial Ownership
09/11/2004,4,Statement of Changes of Beneficial Ownership
09/11/2004,10-Q,Quarterly Report
08/11/2004,8-K,Current Report
01/11/2004,4,Statement of Changes of Beneficial Ownership
01/11/2004,4,Statement of Changes of Beneficial Ownership
01/11/2004,4,Statement of Changes of Beneficial Ownership
21/10/2004,8-K,Current Report
15/10/2004,4,Statement of Changes of Beneficial Ownership
01/10/2004,4,Statement of Changes of Beneficial Ownership
29/09/2004,DEFA14A,Definitive Additional Proxy Materials
28/09/2004,4,Statement of Changes of Beneficial Ownership
28/09/2004,4,Statement of Changes of Beneficial Ownership
28/09/2004,4,Statement of Changes of Beneficial Ownership
28/09/2004,4,Statement of Changes of Beneficial Ownership
28/09/2004,4,Statement of Changes of Beneficial Ownership
28/09/2004,4,Statement of Changes of Beneficial Ownership
28/09/2004,4,Statement of Changes of Beneficial Ownership
28/09/2004,4,Statement of Changes of Beneficial Ownership
28/09/2004,4,Statement of Changes of Beneficial Ownership
21/09/2004,DEFR14A,Revised Proxy Statement
20/09/2004,DEF 14A,Definitive Proxy Statement
17/09/2004,3/A,Amended Initial Statement of Beneficial Ownership
16/09/2004,DEFA14A,Definitive Additional Proxy Materials
09/09/2004,8-K,Current Report
07/09/2004,4,Statement of Changes of Beneficial Ownership
02/09/2004,S-8,Registration Statement
01/09/2004,10-K,Annual Report
01/09/2004,4,Statement of Changes of Beneficial Ownership
01/09/2004,4,Statement of Changes of Beneficial Ownership
01/09/2004,4/A,Amended Statement of Changes of Beneficial Ownership
01/09/2004,5/A,Amended Annual Statement of Changes in Beneficial Ownership
31/08/2004,4,Statement of Changes of Beneficial Ownership
31/08/2004,4,Statement of Changes of Beneficial Ownership
31/08/2004,4/A,Amended Statement of Changes of Beneficial Ownership
31/08/2004,4,Statement of Changes of Beneficial Ownership
31/08/2004,4,Statement of Changes of Beneficial Ownership
31/08/2004,4,Statement of Changes of Beneficial Ownership
31/08/2004,4,Statement of Changes of Beneficial Ownership
31/08/2004,4,Statement of Changes of Beneficial Ownership
31/08/2004,4,Statement of Changes of Beneficial Ownership
31/08/2004,5/A,Amended Annual Statement of Changes in Beneficial Ownership
31/08/2004,5/A,Amended Annual Statement of Changes in Beneficial Ownership
31/08/2004,5/A,Amended Annual Statement of Changes in Beneficial Ownership
26/08/2004,SC 13G/A,Amended Statement of Beneficial Ownership
26/08/2004,5/A,Amended Annual Statement of Changes in Beneficial Ownership
26/08/2004,4,Statement of Changes of Beneficial Ownership
23/08/2004,4,Statement of Changes of Beneficial Ownership
13/08/2004,5,Annual Statement of Changes in Beneficial Ownership
13/08/2004,5/A,Amended Annual Statement of Changes in Beneficial Ownership
13/08/2004,5,Annual Statement of Changes in Beneficial Ownership
13/08/2004,5/A,Amended Annual Statement of Changes in Beneficial Ownership
13/08/2004,5/A,Amended Annual Statement of Changes in Beneficial Ownership
13/08/2004,5/A,Amended Annual Statement of Changes in Beneficial Ownership
13/08/2004,5/A,Amended Annual Statement of Changes in Beneficial Ownership
13/08/2004,5/A,Amended Annual Statement of Changes in Beneficial Ownership
13/08/2004,5/A,Amended Annual Statement of Changes in Beneficial Ownership
13/08/2004,5,Annual Statement of Changes in Beneficial Ownership
13/08/2004,5,Annual Statement of Changes in Beneficial Ownership
13/08/2004,5/A,Amended Annual Statement of Changes in Beneficial Ownership
13/08/2004,4/A,Amended Statement of Changes of Beneficial Ownership
11/08/2004,4,Statement of Changes of Beneficial Ownership
10/08/2004,4,Statement of Changes of Beneficial Ownership
10/08/2004,4,Statement of Changes of Beneficial Ownership
09/08/2004,4,Statement of Changes of Beneficial Ownership
06/08/2004,4,Statement of Changes of Beneficial Ownership
05/08/2004,4,Statement of Changes of Beneficial Ownership
04/08/2004,4,Statement of Changes of Beneficial Ownership
04/08/2004,4,Statement of Changes of Beneficial Ownership
04/08/2004,4,Statement of Changes of Beneficial Ownership
04/08/2004,4,Statement of Changes of Beneficial Ownership
04/08/2004,4,Statement of Changes of Beneficial Ownership
04/08/2004,4,Statement of Changes of Beneficial Ownership
04/08/2004,4,Statement of Changes of Beneficial Ownership
04/08/2004,4,Statement of Changes of Beneficial Ownership
04/08/2004,4,Statement of Changes of Beneficial Ownership
04/08/2004,4,Statement of Changes of Beneficial Ownership
04/08/2004,4,Statement of Changes of Beneficial Ownership
04/08/2004,4,Statement of Changes of Beneficial Ownership
04/08/2004,4,Statement of Changes of Beneficial Ownership
04/08/2004,4,Statement of Changes of Beneficial Ownership
04/08/2004,4,Statement of Changes of Beneficial Ownership
03/08/2004,4,Statement of Changes of Beneficial Ownership
02/08/2004,4,Statement of Changes of Beneficial Ownership
02/08/2004,4,Statement of Changes of Beneficial Ownership
30/07/2004,4,Statement of Changes of Beneficial Ownership
30/07/2004,4,Statement of Changes of Beneficial Ownership
28/07/2004,5/A,Amended Annual Statement of Changes in Beneficial Ownership
28/07/2004,4,Statement of Changes of Beneficial Ownership
28/07/2004,5,Annual Statement of Changes in Beneficial Ownership
28/07/2004,5,Annual Statement of Changes in Beneficial Ownership
28/07/2004,5,Annual Statement of Changes in Beneficial Ownership
28/07/2004,5,Annual Statement of Changes in Beneficial Ownership
28/07/2004,5,Annual Statement of Changes in Beneficial Ownership
28/07/2004,5,Annual Statement of Changes in Beneficial Ownership
28/07/2004,5,Annual Statement of Changes in Beneficial Ownership
28/07/2004,5,Annual Statement of Changes in Beneficial Ownership
28/07/2004,5,Annual Statement of Changes in Beneficial Ownership
23/07/2004,DEFA14A,Definitive Additional Proxy Materials
22/07/2004,8-K,Current Report
21/07/2004,4,Statement of Changes of Beneficial Ownership
21/07/2004,4,Statement of Changes of Beneficial Ownership
21/07/2004,PRE 14A,Preliminary Proxy Statement
13/07/2004,11-K/A,Amended Annual Report of Employee Stock Purchase
12/07/2004,11-K/A,Amended Annual Report of Employee Stock Purchase
12/07/2004,11-K/A,Amended Annual Report of Employee Stock Purchase
01/07/2004,4,Statement of Changes of Beneficial Ownership
24/06/2004,11-K,Annual Report of Employee Stock Purchase
24/06/2004,11-K,Annual Report of Employee Stock Purchase
24/06/2004,11-K,Annual Report of Employee Stock Purchase
21/06/2004,4,Statement of Changes of Beneficial Ownership
17/06/2004,4,Statement of Changes of Beneficial Ownership
16/06/2004,4,Statement of Changes of Beneficial Ownership
08/06/2004,4,Statement of Changes of Beneficial Ownership
07/06/2004,4,Statement of Changes of Beneficial Ownership
04/06/2004,4,Statement of Changes of Beneficial Ownership
04/06/2004,4,Statement of Changes of Beneficial Ownership
01/06/2004,4,Statement of Changes of Beneficial Ownership
01/06/2004,4,Statement of Changes of Beneficial Ownership
14/05/2004,4,Statement of Changes of Beneficial Ownership
14/05/2004,4,Statement of Changes of Beneficial Ownership
14/05/2004,4,Statement of Changes of Beneficial Ownership
13/05/2004,4,Statement of Changes of Beneficial Ownership
13/05/2004,4,Statement of Changes of Beneficial Ownership
12/05/2004,4,Statement of Changes of Beneficial Ownership
11/05/2004,4,Statement of Changes of Beneficial Ownership
11/05/2004,4,Statement of Changes of Beneficial Ownership
10/05/2004,4,Statement of Changes of Beneficial Ownership
07/05/2004,4,Statement of Changes of Beneficial Ownership
06/05/2004,4,Statement of Changes of Beneficial Ownership
06/05/2004,4,Statement of Changes of Beneficial Ownership
05/05/2004,4,Statement of Changes of Beneficial Ownership
05/05/2004,4,Statement of Changes of Beneficial Ownership
04/05/2004,4,Statement of Changes of Beneficial Ownership
04/05/2004,4,Statement of Changes of Beneficial Ownership
03/05/2004,4,Statement of Changes of Beneficial Ownership
03/05/2004,8-K,Current Report
03/05/2004,10-Q,Quarterly Report
03/05/2004,4,Statement of Changes of Beneficial Ownership
03/05/2004,4,Statement of Changes of Beneficial Ownership
28/04/2004,8-K,Current Report
27/04/2004,4,Statement of Changes of Beneficial Ownership
27/04/2004,4,Statement of Changes of Beneficial Ownership
23/04/2004,4,Statement of Changes of Beneficial Ownership
23/04/2004,8-K,Current Report
21/04/2004,4,Statement of Changes of Beneficial Ownership
09/04/2004,SC 13G,Statement of Beneficial Ownership
02/04/2004,4,Statement of Changes of Beneficial Ownership
02/04/2004,4/A,Amended Statement of Changes of Beneficial Ownership
02/04/2004,4,Statement of Changes of Beneficial Ownership
30/03/2004,11-K,Annual Report of Employee Stock Purchase
30/03/2004,4/A,Amended Statement of Changes of Beneficial Ownership
29/03/2004,4,Statement of Changes of Beneficial Ownership
29/03/2004,4/A,Amended Statement of Changes of Beneficial Ownership
23/03/2004,4,Statement of Changes of Beneficial Ownership
05/03/2004,4,Statement of Changes of Beneficial Ownership
04/03/2004,4,Statement of Changes of Beneficial Ownership
01/03/2004,4,Statement of Changes of Beneficial Ownership
24/02/2004,4,Statement of Changes of Beneficial Ownership
17/02/2004,SC 13G/A,Amended Statement of Beneficial Ownership
11/02/2004,4,Statement of Changes of Beneficial Ownership
11/02/2004,4,Statement of Changes of Beneficial Ownership
10/02/2004,4,Statement of Changes of Beneficial Ownership
09/02/2004,4,Statement of Changes of Beneficial Ownership
09/02/2004,4,Statement of Changes of Beneficial Ownership
06/02/2004,8-K,Current Report
06/02/2004,10-Q,Quarterly Report
06/02/2004,4,Statement of Changes of Beneficial Ownership
06/02/2004,4,Statement of Changes of Beneficial Ownership
06/02/2004,4,Statement of Changes of Beneficial Ownership
05/02/2004,4,Statement of Changes of Beneficial Ownership
04/02/2004,SC 13D/A,Amended General Statement of Beneficial Ownership
04/02/2004,4,Statement of Changes of Beneficial Ownership
02/02/2004,4,Statement of Changes of Beneficial Ownership
02/02/2004,4,Statement of Changes of Beneficial Ownership
30/01/2004,4,Statement of Changes of Beneficial Ownership
29/01/2004,4,Statement of Changes of Beneficial Ownership
29/01/2004,4,Statement of Changes of Beneficial Ownership
28/01/2004,4,Statement of Changes of Beneficial Ownership
28/01/2004,4,Statement of Changes of Beneficial Ownership
22/01/2004,8-K,Current Report
13/01/2004,4,Statement of Changes of Beneficial Ownership
12/01/2004,4,Statement of Changes of Beneficial Ownership
09/01/2004,4,Statement of Changes of Beneficial Ownership
06/01/2004,POS AM,Post-Effective Amendment
06/01/2004,POS AM,Post-Effective Amendment
06/01/2004,POS AM,Post-Effective Amendment
06/01/2004,4,Statement of Changes of Beneficial Ownership
06/01/2004,4,Statement of Changes of Beneficial Ownership
06/01/2004,4,Statement of Changes of Beneficial Ownership
06/01/2004,4,Statement of Changes of Beneficial Ownership
06/01/2004,4,Statement of Changes of Beneficial Ownership
06/01/2004,4,Statement of Changes of Beneficial Ownership
06/01/2004,4,Statement of Changes of Beneficial Ownership
06/01/2004,4,Statement of Changes of Beneficial Ownership
28/12/2005,4,Statement of Changes of Beneficial Ownership
27/12/2005,4,Statement of Changes of Beneficial Ownership
27/12/2005,4,Statement of Changes of Beneficial Ownership
19/12/2005,4,Statement of Changes of Beneficial Ownership
09/12/2005,4,Statement of Changes of Beneficial Ownership
01/12/2005,4,Statement of Changes of Beneficial Ownership
29/11/2005,8-K,Current Report
28/11/2005,4,Statement of Changes of Beneficial Ownership
22/11/2005,4,Statement of Changes of Beneficial Ownership
22/11/2005,4,Statement of Changes of Beneficial Ownership
21/11/2005,4,Statement of Changes of Beneficial Ownership
21/11/2005,4,Statement of Changes of Beneficial Ownership
21/11/2005,4,Statement of Changes of Beneficial Ownership
21/11/2005,8-K,Current Report
18/11/2005,4,Statement of Changes of Beneficial Ownership
17/11/2005,4,Statement of Changes of Beneficial Ownership
16/11/2005,4,Statement of Changes of Beneficial Ownership
16/11/2005,4,Statement of Changes of Beneficial Ownership
16/11/2005,4,Statement of Changes of Beneficial Ownership
15/11/2005,4,Statement of Changes of Beneficial Ownership
15/11/2005,4,Statement of Changes of Beneficial Ownership
15/11/2005,4,Statement of Changes of Beneficial Ownership
15/11/2005,4,Statement of Changes of Beneficial Ownership
15/11/2005,4,Statement of Changes of Beneficial Ownership
14/11/2005,4,Statement of Changes of Beneficial Ownership
14/11/2005,4,Statement of Changes of Beneficial Ownership
14/11/2005,8-K,Current Report
10/11/2005,4,Statement of Changes of Beneficial Ownership
10/11/2005,4,Statement of Changes of Beneficial Ownership
10/11/2005,4,Statement of Changes of Beneficial Ownership
09/11/2005,4,Statement of Changes of Beneficial Ownership
08/11/2005,4,Statement of Changes of Beneficial Ownership
08/11/2005,4,Statement of Changes of Beneficial Ownership
08/11/2005,4,Statement of Changes of Beneficial Ownership
07/11/2005,3,Initial Statement of Beneficial Ownership
07/11/2005,4,Statement of Changes of Beneficial Ownership
04/11/2005,4,Statement of Changes of Beneficial Ownership
27/10/2005,8-K,Current Report
27/10/2005,10-Q,Quarterly Report
13/10/2005,DEFA14A,Definitive Additional Proxy Materials
28/09/2005,DEF 14A,Definitive Proxy Statement
28/09/2005,8-K,Current Report
28/09/2005,8-K,Current Report
26/09/2005,4,Statement of Changes of Beneficial Ownership
26/09/2005,4,Statement of Changes of Beneficial Ownership
26/09/2005,4,Statement of Changes of Beneficial Ownership
26/09/2005,4,Statement of Changes of Beneficial Ownership
26/09/2005,4,Statement of Changes of Beneficial Ownership
26/09/2005,4,Statement of Changes of Beneficial Ownership
26/09/2005,4,Statement of Changes of Beneficial Ownership
26/09/2005,4,Statement of Changes of Beneficial Ownership
08/09/2005,4,Statement of Changes of Beneficial Ownership
08/09/2005,3,Initial Statement of Beneficial Ownership
07/09/2005,4,Statement of Changes of Beneficial Ownership
02/09/2005,4,Statement of Changes of Beneficial Ownership
02/09/2005,4,Statement of Changes of Beneficial Ownership
02/09/2005,4,Statement of Changes of Beneficial Ownership
02/09/2005,4,Statement of Changes of Beneficial Ownership
02/09/2005,4,Statement of Changes of Beneficial Ownership
02/09/2005,4,Statement of Changes of Beneficial Ownership
02/09/2005,4,Statement of Changes of Beneficial Ownership
02/09/2005,4,Statement of Changes of Beneficial Ownership
02/09/2005,4,Statement of Changes of Beneficial Ownership
31/08/2005,4,Statement of Changes of Beneficial Ownership
31/08/2005,4,Statement of Changes of Beneficial Ownership
31/08/2005,4,Statement of Changes of Beneficial Ownership
31/08/2005,4,Statement of Changes of Beneficial Ownership
31/08/2005,4,Statement of Changes of Beneficial Ownership
31/08/2005,4,Statement of Changes of Beneficial Ownership
31/08/2005,4,Statement of Changes of Beneficial Ownership
31/08/2005,4,Statement of Changes of Beneficial Ownership
26/08/2005,10-K,Annual Report
23/08/2005,4,Statement of Changes of Beneficial Ownership
15/08/2005,4,Statement of Changes of Beneficial Ownership
08/08/2005,4,Statement of Changes of Beneficial Ownership
08/08/2005,4,Statement of Changes of Beneficial Ownership
05/08/2005,4,Statement of Changes of Beneficial Ownership
05/08/2005,4,Statement of Changes of Beneficial Ownership
04/08/2005,4,Statement of Changes of Beneficial Ownership
04/08/2005,4,Statement of Changes of Beneficial Ownership
04/08/2005,4,Statement of Changes of Beneficial Ownership
04/08/2005,8-K,Current Report
03/08/2005,4,Statement of Changes of Beneficial Ownership
03/08/2005,4,Statement of Changes of Beneficial Ownership
03/08/2005,4,Statement of Changes of Beneficial Ownership
03/08/2005,4,Statement of Changes of Beneficial Ownership
03/08/2005,4,Statement of Changes of Beneficial Ownership
03/08/2005,4,Statement of Changes of Beneficial Ownership
03/08/2005,4,Statement of Changes of Beneficial Ownership
03/08/2005,4,Statement of Changes of Beneficial Ownership
03/08/2005,4,Statement of Changes of Beneficial Ownership
03/08/2005,4,Statement of Changes of Beneficial Ownership
03/08/2005,4,Statement of Changes of Beneficial Ownership
03/08/2005,4,Statement of Changes of Beneficial Ownership
03/08/2005,4,Statement of Changes of Beneficial Ownership
02/08/2005,4,Statement of Changes of Beneficial Ownership
01/08/2005,4,Statement of Changes of Beneficial Ownership
29/07/2005,4,Statement of Changes of Beneficial Ownership
28/07/2005,4,Statement of Changes of Beneficial Ownership
21/07/2005,8-K,Current Report
08/07/2005,5,Annual Statement of Changes in Beneficial Ownership
08/07/2005,5,Annual Statement of Changes in Beneficial Ownership
08/07/2005,5,Annual Statement of Changes in Beneficial Ownership
08/07/2005,5,Annual Statement of Changes in Beneficial Ownership
08/07/2005,5,Annual Statement of Changes in Beneficial Ownership
08/07/2005,5,Annual Statement of Changes in Beneficial Ownership
08/07/2005,5,Annual Statement of Changes in Beneficial Ownership
08/07/2005,5,Annual Statement of Changes in Beneficial Ownership
08/07/2005,5,Annual Statement of Changes in Beneficial Ownership
08/07/2005,5,Annual Statement of Changes in Beneficial Ownership
08/07/2005,5,Annual Statement of Changes in Beneficial Ownership
08/07/2005,5,Annual Statement of Changes in Beneficial Ownership
08/07/2005,5,Annual Statement of Changes in Beneficial Ownership
29/06/2005,8-K,Current Report
22/06/2005,4,Statement of Changes of Beneficial Ownership
15/06/2005,4,Statement of Changes of Beneficial Ownership
08/06/2005,4,Statement of Changes of Beneficial Ownership
02/06/2005,4,Statement of Changes of Beneficial Ownership
02/06/2005,4,Statement of Changes of Beneficial Ownership
01/06/2005,4,Statement of Changes of Beneficial Ownership
01/06/2005,4/A,Amended Statement of Changes of Beneficial Ownership
25/05/2005,3,Initial Statement of Beneficial Ownership
25/05/2005,4,Statement of Changes of Beneficial Ownership
23/05/2005,8-K,Current Report
19/05/2005,4,Statement of Changes of Beneficial Ownership
18/05/2005,4,Statement of Changes of Beneficial Ownership
17/05/2005,4,Statement of Changes of Beneficial Ownership
16/05/2005,4,Statement of Changes of Beneficial Ownership
13/05/2005,4,Statement of Changes of Beneficial Ownership
12/05/2005,4,Statement of Changes of Beneficial Ownership
11/05/2005,4,Statement of Changes of Beneficial Ownership
11/05/2005,4/A,Amended Statement of Changes of Beneficial Ownership
11/05/2005,4,Statement of Changes of Beneficial Ownership
10/05/2005,4,Statement of Changes of Beneficial Ownership
10/05/2005,3,Initial Statement of Beneficial Ownership
10/05/2005,4,Statement of Changes of Beneficial Ownership
10/05/2005,4,Statement of Changes of Beneficial Ownership
09/05/2005,4,Statement of Changes of Beneficial Ownership
06/05/2005,4,Statement of Changes of Beneficial Ownership
06/05/2005,4,Statement of Changes of Beneficial Ownership
04/05/2005,4,Statement of Changes of Beneficial Ownership
04/05/2005,8-K,Current Report
03/05/2005,4,Statement of Changes of Beneficial Ownership
29/04/2005,3,Initial Statement of Beneficial Ownership
28/04/2005,8-K,Current Report
28/04/2005,10-Q,Quarterly Report
25/04/2005,8-K,Current Report
11/04/2005,8-K,Current Report
06/04/2005,8-K/A,Amended Current Report
23/03/2005,4,Statement of Changes of Beneficial Ownership
23/03/2005,3,Initial Statement of Beneficial Ownership
23/03/2005,8-K,Current Report
07/03/2005,4,Statement of Changes of Beneficial Ownership
07/03/2005,4,Statement of Changes of Beneficial Ownership
04/03/2005,4,Statement of Changes of Beneficial Ownership
04/03/2005,4,Statement of Changes of Beneficial Ownership
17/02/2005,4,Statement of Changes of Beneficial Ownership
15/02/2005,4,Statement of Changes of Beneficial Ownership
14/02/2005,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2005,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2005,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2005,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2005,4,Statement of Changes of Beneficial Ownership
11/02/2005,4,Statement of Changes of Beneficial Ownership
10/02/2005,4,Statement of Changes of Beneficial Ownership
09/02/2005,4,Statement of Changes of Beneficial Ownership
08/02/2005,4,Statement of Changes of Beneficial Ownership
07/02/2005,4,Statement of Changes of Beneficial Ownership
07/02/2005,8-K,Current Report
04/02/2005,4,Statement of Changes of Beneficial Ownership
28/01/2005,4,Statement of Changes of Beneficial Ownership
27/01/2005,8-K,Current Report
27/01/2005,10-Q,Quarterly Report
21/01/2005,4,Statement of Changes of Beneficial Ownership
19/01/2005,4,Statement of Changes of Beneficial Ownership
14/01/2005,4,Statement of Changes of Beneficial Ownership
11/01/2005,8-K,Current Report
11/01/2005,4,Statement of Changes of Beneficial Ownership
11/01/2005,5/A,Amended Annual Statement of Changes in Beneficial Ownership
06/01/2005,4,Statement of Changes of Beneficial Ownership
06/01/2005,4,Statement of Changes of Beneficial Ownership
06/01/2005,4,Statement of Changes of Beneficial Ownership
06/01/2005,4,Statement of Changes of Beneficial Ownership
06/01/2005,4,Statement of Changes of Beneficial Ownership
06/01/2005,4,Statement of Changes of Beneficial Ownership
06/01/2005,4,Statement of Changes of Beneficial Ownership
05/01/2005,4,Statement of Changes of Beneficial Ownership
05/01/2005,5/A,Amended Annual Statement of Changes in Beneficial Ownership
27/12/2006,4,Statement of Changes of Beneficial Ownership
19/12/2006,4,Statement of Changes of Beneficial Ownership
18/12/2006,4,Statement of Changes of Beneficial Ownership
18/12/2006,4,Statement of Changes of Beneficial Ownership
18/12/2006,4,Statement of Changes of Beneficial Ownership
18/12/2006,4,Statement of Changes of Beneficial Ownership
04/12/2006,4,Statement of Changes of Beneficial Ownership
28/11/2006,4,Statement of Changes of Beneficial Ownership
20/11/2006,4,Statement of Changes of Beneficial Ownership
17/11/2006,4,Statement of Changes of Beneficial Ownership
16/11/2006,4,Statement of Changes of Beneficial Ownership
16/11/2006,4,Statement of Changes of Beneficial Ownership
15/11/2006,4,Statement of Changes of Beneficial Ownership
14/11/2006,8-K,Current Report
14/11/2006,4,Statement of Changes of Beneficial Ownership
14/11/2006,4,Statement of Changes of Beneficial Ownership
14/11/2006,4,Statement of Changes of Beneficial Ownership
13/11/2006,4,Statement of Changes of Beneficial Ownership
13/11/2006,4,Statement of Changes of Beneficial Ownership
13/11/2006,4,Statement of Changes of Beneficial Ownership
09/11/2006,4,Statement of Changes of Beneficial Ownership
09/11/2006,4,Statement of Changes of Beneficial Ownership
08/11/2006,4,Statement of Changes of Beneficial Ownership
08/11/2006,4,Statement of Changes of Beneficial Ownership
07/11/2006,4,Statement of Changes of Beneficial Ownership
06/11/2006,4,Statement of Changes of Beneficial Ownership
06/11/2006,4,Statement of Changes of Beneficial Ownership
26/10/2006,8-K,Current Report
26/10/2006,10-Q,Quarterly Report
24/10/2006,8-K,Current Report
12/10/2006,DEFA14A,Definitive Additional Proxy Materials
10/10/2006,8-K,Current Report
04/10/2006,DEF 14A,Definitive Proxy Statement
15/09/2006,4,Statement of Changes of Beneficial Ownership
15/09/2006,4,Statement of Changes of Beneficial Ownership
15/09/2006,4,Statement of Changes of Beneficial Ownership
15/09/2006,4,Statement of Changes of Beneficial Ownership
15/09/2006,4,Statement of Changes of Beneficial Ownership
15/09/2006,4,Statement of Changes of Beneficial Ownership
06/09/2006,4,Statement of Changes of Beneficial Ownership
31/08/2006,4,Statement of Changes of Beneficial Ownership
31/08/2006,4,Statement of Changes of Beneficial Ownership
31/08/2006,4,Statement of Changes of Beneficial Ownership
31/08/2006,4,Statement of Changes of Beneficial Ownership
31/08/2006,4,Statement of Changes of Beneficial Ownership
31/08/2006,4,Statement of Changes of Beneficial Ownership
31/08/2006,4,Statement of Changes of Beneficial Ownership
31/08/2006,4,Statement of Changes of Beneficial Ownership
31/08/2006,4,Statement of Changes of Beneficial Ownership
31/08/2006,4,Statement of Changes of Beneficial Ownership
31/08/2006,4,Statement of Changes of Beneficial Ownership
31/08/2006,4,Statement of Changes of Beneficial Ownership
31/08/2006,4,Statement of Changes of Beneficial Ownership
31/08/2006,4,Statement of Changes of Beneficial Ownership
31/08/2006,4,Statement of Changes of Beneficial Ownership
31/08/2006,4,Statement of Changes of Beneficial Ownership
30/08/2006,4,Statement of Changes of Beneficial Ownership
30/08/2006,4,Statement of Changes of Beneficial Ownership
30/08/2006,4,Statement of Changes of Beneficial Ownership
25/08/2006,8-K,Current Report
25/08/2006,10-K,Annual Report
24/08/2006,4/A,Amended Statement of Changes of Beneficial Ownership
24/08/2006,SC TO-I/A,Other
18/08/2006,SC TO-I/A,Other
11/08/2006,4,Statement of Changes of Beneficial Ownership
10/08/2006,4,Statement of Changes of Beneficial Ownership
10/08/2006,4,Statement of Changes of Beneficial Ownership
09/08/2006,4,Statement of Changes of Beneficial Ownership
08/08/2006,4,Statement of Changes of Beneficial Ownership
08/08/2006,4,Statement of Changes of Beneficial Ownership
08/08/2006,4,Statement of Changes of Beneficial Ownership
08/08/2006,SC TO-I/A,Other
07/08/2006,4,Statement of Changes of Beneficial Ownership
07/08/2006,4,Statement of Changes of Beneficial Ownership
04/08/2006,4,Statement of Changes of Beneficial Ownership
04/08/2006,4,Statement of Changes of Beneficial Ownership
03/08/2006,4,Statement of Changes of Beneficial Ownership
03/08/2006,4,Statement of Changes of Beneficial Ownership
02/08/2006,4,Statement of Changes of Beneficial Ownership
02/08/2006,4,Statement of Changes of Beneficial Ownership
01/08/2006,4,Statement of Changes of Beneficial Ownership
01/08/2006,4,Statement of Changes of Beneficial Ownership
01/08/2006,4,Statement of Changes of Beneficial Ownership
01/08/2006,4,Statement of Changes of Beneficial Ownership
01/08/2006,4,Statement of Changes of Beneficial Ownership
01/08/2006,4,Statement of Changes of Beneficial Ownership
01/08/2006,4,Statement of Changes of Beneficial Ownership
31/07/2006,4,Statement of Changes of Beneficial Ownership
31/07/2006,4,Statement of Changes of Beneficial Ownership
27/07/2006,4,Statement of Changes of Beneficial Ownership
27/07/2006,SC TO-I/A,Other
21/07/2006,SC TO-I,Other
20/07/2006,8-K,Current Report
20/07/2006,SC TO-C,Other
17/07/2006,8-K,Current Report
12/07/2006,4,Statement of Changes of Beneficial Ownership
10/07/2006,4,Statement of Changes of Beneficial Ownership
07/07/2006,5,Annual Statement of Changes in Beneficial Ownership
