DATE,DGS10
1994-01-26,5.77
1994-01-27,5.73
1994-01-28,5.68
1994-01-31,5.70
1994-02-01,5.77
1994-02-02,5.77
1994-02-03,5.81
1994-02-04,5.94
1994-02-07,5.96
1994-02-08,6.01
1994-02-09,5.92
1994-02-10,5.91
1994-02-11,5.88
1994-02-14,5.90
1994-02-15,5.88
1994-02-16,5.89
1994-02-17,6.00
1994-02-18,6.09
1994-02-21,.
1994-02-22,6.05
1994-02-23,6.13
1994-02-24,6.22
